gene_id	transcript_id	prot_id	gene_name	Preferred_name	PFAM_arch	log2FoldChange	padj
LOC116609765	XR_004293110.2	NA	uncharacterized LOC116609765	NA	NA	2.6258692840132	6.40124800903934e-07
LOC125573097	XR_007313956.1	NA	NA	NA	NA	2.6205877654203	0.000537869787348926
LOC5515448	XM_001635470.3	XP_001635520.2	uncharacterized LOC5515448	-	NA	2.605393616629	0.00132373291248387
LOC5507548	XM_032376257.2	XP_032232148.2	MAM and LDL-receptor class A domain-containing protein 1	-	Astacin;TSP_1;MAM;MAM;MAM	2.59847144439262	0.00865702406104429
LOC125560597	XM_048722330.1	XP_048578287.1	uncharacterized LOC125560597	-	NA	2.55549283622627	3.95813651256806e-06
LOC5502251	XM_048727654.1	XP_048583611.1	uncharacterized LOC5502251	NA	Ldl_recept_a;MAM;MAM;F5_F8_type_C;F5_F8_type_C;Pentaxin;MAM;CUB;LRR_5;LRR_8;LRR_8;LRR_4;LRR_5;LRR_8;LRR_4;LRR_8;7TM_GPCR_Srsx;7tm_1;7TM_GPCR_Srv	2.52680568202292	1.30008026934458e-10
LOC125556780	XM_048727804.1	XP_048583761.1	NA	-	Pentaxin;Laminin_G_3	2.46841669053586	0.00368236134661166
LOC5506347	XR_004294369.2	NA	uncharacterized LOC5506347	NA	NA	2.26474594849636	1.20364899167909e-11
LOC116617545	XM_032380296.2	XP_032236187.2	NA	LRRN1	LRR_5;LRR_8;LRR_8;LRR_8;LRR_5;LRR_8;LRR_8;LRR_1;LRR_8;LRR_5;LRR_8;LRR_5;LRR_8	2.24471318207916	0.000895402450599519
LOC5511199	XM_001631541.3	XP_001631591.2	RING finger protein 224	-	zf-RING_2;zf-C3HC4_2;zf-RING_5;zf-C3HC4;zf-RING_UBOX	2.20244274324618	1.67295839033193e-06
LOC5510585	XM_048733781.1	XP_048589738.1	NA	-	GPS;PLAT;PKD_channel;Ion_trans	2.19053080084662	0.00317025773624028
LOC116615697	XM_048728060.1	XP_048584017.1	gibberellin-regulated protein 14-like	-	WAP	2.17033674154498	4.73609365432088e-07
LOC116614314	XM_048733434.1	XP_048589391.1	NA	-	Sushi;SRCR;LRR_5;LRR_8;LRR_5	2.12996620293566	3.74668533081477e-08
LOC116611845	XM_048729832.1	XP_048585789.1	NA	-	ubiquitin	2.08337472764324	1.06706404741203e-08
LOC116618713	XM_048725449.1	XP_048581406.1	platelet binding protein GspB	NA	NA	2.07153576139401	0.00620863993611833
LOC5503999	XM_001624899.3	XP_001624949.1	NA	NA	zf-C3HC4_2;zf-C3HC4;zf-TRAF;zf-TRAF	2.06763733469096	0.000771485921674064
LOC116619844	XM_032385085.2	XP_032240976.2	NA	NA	NA	2.00022410068588	1.12113511197453e-09
LOC5504590	XM_048727877.1	XP_048583834.1	NA	NA	MAM;MAM;MAM;Lectin_C;Laminin_G_3;MAM;Ldl_recept_a;Ldl_recept_a;MAM;MAM;CUB;LRR_5;LRR_8;LRR_5;LRR_8;LRR_1;LRR_8;7TM_GPCR_Srx;7tm_1	1.98889881759544	0.00215025822008077
LOC116608285	XM_048727419.1	XP_048583376.1	protein sidekick-1	NA	fn3;fn3;Ion_trans;Ion_trans_2	1.9840922781612	0.000106950722366022
LOC5513251	XM_048725546.1	XP_048581503.1	multiple epidermal growth factor-like domains protein 11	NA	Laminin_EGF;Laminin_EGF;Laminin_EGF;Laminin_EGF	1.97614193134051	9.72321351801053e-07
LOC116618688	XR_004296296.2	NA	uncharacterized LOC116618688	NA	NA	1.9559349573011	0.000220678195359071
LOC5514077	XM_048721903.1	XP_048577860.1	NA	NA	F5_F8_type_C;F5_F8_type_C;Pentaxin;Laminin_G_3;Fibrinogen_C;TLD;MAM;F5_F8_type_C;Laminin_G_3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;Ion_trans;Ion_trans_2	1.92019762725262	0.00230111251609415
LOC125573273	XR_007314032.1	NA	uncharacterized LOC125573273	NA	NA	1.92017479017568	0.00188304019580848
LOC5502976	XM_048732394.1	XP_048588351.1	NA	NA	Ig_2;Ig_3;I-set;ig;Ig_2;Ig_3;I-set;Ig_3;Ig_2;I-set;Ig_3;Ig_2;I-set;Ig_3;Ig_2;Ig_3;I-set;Ig_2;Ig_3;I-set;ig;Ig_2;Ig_3	1.91551446511601	0.00164654641662542
LOC5510376	XM_048727924.1	XP_048583881.1	relaxin receptor 2	-	MAM;CUB;LRR_5;LRR_8;LRR_8;LRR_4;LRR_5;LRR_8;LRR_4;LRR_8;7tm_1	1.90367453705847	0.000144015655137384
LOC5510207	XM_032379355.2	XP_032235246.2	NA	-	ABC_membrane;ABC_tran;ABC_membrane;ABC_tran	1.85491800839004	5.57750082509089e-05
LOC5510634	XM_032379858.2	XP_032235749.1	uncharacterized LOC5510634	-	NA	1.85016714503901	0.00923253187984556
LOC5515162	XM_048728985.1	XP_048584942.1	uncharacterized LOC5515162	-	F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;TSP_1;TSP1_ADAMTS;PKD;REJ;GPS;PLAT;PKD_channel;Ion_trans	1.82464641165456	0.00118403147608407
LOC116617655	XM_032380574.2	XP_032236465.2	NA	NA	NA	1.82182807600829	2.21580917799506e-05
LOC5506344	XM_032374719.2	XP_032230610.1	uncharacterized LOC5506344	TEX14	Ank_4;Ank_2;Ank_3;Ank;Ank_4;PK_Tyr_Ser-Thr;Pkinase	1.80947148456792	0.000818555758385623
LOC5506259	XM_032374630.2	XP_032230521.2	uncharacterized protein F54H12.2-like	NA	NA	1.80398933361024	0.0013293024293441
LOC116609767	XR_004293112.2	NA	uncharacterized LOC116609767	NA	NA	1.80318889728339	6.47343917683557e-06
LOC116614322	XM_048733333.1	XP_048589290.1	uncharacterized LOC116614322	pats1	LRR_8	1.76653402943726	2.00741007589492e-05
LOC5511612	XM_048725955.1	XP_048581912.1	NA	-	SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR;SRCR	1.75854856028989	0.000303919200323105
LOC116619461	XM_032384278.2	XP_032240169.2	NA	NA	DED	1.75230402970403	4.05113372424041e-05
LOC5514430	XM_032384064.2	XP_032239955.2	vitellogenin	-	Vitellogenin_N;DUF1943;VWD	1.7454812620877	5.31736100904667e-05
LOC5511470	XM_032380820.2	XP_032236711.2	NA	NA	KH_1;KH_2;KH_1	1.69365347677916	4.16960302604777e-08
LOC5512554	XM_032381961.2	XP_032237852.1	uncharacterized LOC5512554	NA	Peptidase_M43;Hemopexin;Hemopexin;Hemopexin;Hemopexin;Hemopexin;Hemopexin;Hemopexin	1.67395462489051	0.00270195319579623
LOC5512551	XM_048733753.1	XP_048589710.1	NA	-	PAN_1;EGF;Fibrinogen_C	1.67225905905606	9.95487771315864e-06
LOC5507915	XM_001628466.3	XP_001628516.3	NA	-	7TM_GPCR_Srx;7tm_1	1.65141540096569	1.1531038284656e-05
LOC5501963	XM_032370243.2	XP_032226134.1	uncharacterized LOC5501963	-	PAN_1;EGF_CA;EGF_3;EGF;TLD	1.65119043684331	0.0051824868377206
LOC5510390	XM_048727983.1	XP_048583940.1	NA	NA	MAM;fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;Ion_trans;Ion_trans_2	1.64751191417511	3.64912645293015e-06
LOC5500813	XM_001622146.3	XP_001622196.3	NA	NA	Gal_Lectin	1.64615115779929	0.000111593631985411
LOC125556692	XM_048728192.1	XP_048584149.1	NA	-	NA	1.64332895824711	0.00096397363149733
LOC5506768	XM_001627415.3	XP_001627465.1	uncharacterized LOC5506768	-	NA	1.61817100524809	2.88569447099844e-05
LOC5499073	XM_048733580.1	XP_048589537.1	uncharacterized LOC5499073	pats1	NA	1.61378229254091	3.23132692589937e-08
LOC116619667	XR_004296785.2	NA	uncharacterized LOC116619667	NA	NA	1.61329110606814	5.76994319452329e-07
LOC5520987	XM_048729373.1	XP_048585330.1	uncharacterized LOC5520987	NA	PKD;REJ;GPS;PLAT;PKD_channel;Ion_trans	1.61247322500203	6.16067122770262e-05
LOC125559058	XM_048720908.1	XP_048576865.1	uncharacterized LOC125559058	-	SAM_2;SAM_1	1.60610486280198	0.00161270146311626
LOC116615390	XM_032376963.2	XP_032232854.1	histone H4	-	CENP-T_C;TAF	1.60201971962942	0.000193873780880283
LOC5511655	XM_048732905.1	XP_048588862.1	tyrosine-protein phosphatase Lar	-	SRCR;SRCR;fn3;fn3;fn3;fn3	1.59570297848466	3.78402003111502e-09
LOC116614590	XM_032375747.2	XP_032231638.1	NA	-	NA	1.58835496680845	1.76037415484785e-06
LOC116615009	XR_007312252.1	NA	uncharacterized LOC116615009	NA	NA	1.57866053409447	4.85669169901759e-07
LOC125568250	XR_007312198.1	NA	uncharacterized LOC125568250	NA	NA	1.56080737093888	0.00265198278406718
LOC5504423	XM_048721668.1	XP_048577625.1	NA	-	VWD	1.53337030769533	3.76093492934563e-08
LOC5518536	XM_001638426.3	XP_001638476.2	uncharacterized LOC5518536	NA	CLN3	1.5320867365229	0.000601871608280969
LOC5520736	XM_048730211.1	XP_048586168.1	uncharacterized LOC5520736	-	REJ;GPS;PKD_channel;Ion_trans	1.51581193229356	6.40908041765229e-05
LOC5512159	XM_001632488.3	XP_001632538.3	NA	-	DHQ_synthase;Methyltransf_3;PCMT;GCD14;Methyltransf_31;Methyltransf_24	1.5021447615667	7.76081147271964e-05
LOC116604785	XR_007306751.1	NA	uncharacterized LOC116604785	NA	NA	1.49243621211677	0.00042399570824473
LOC116620880	XM_048719462.1	XP_048575419.1	FAD-dependent oxidoreductase domain-containing protein 2-like	FOXRED2	Pyr_redox_2;Pyr_redox_3;K_oxygenase	1.47860077270774	0.00890594054636607
LOC116618376	XM_048733350.1	XP_048589307.1	NA	-	Fibrinogen_C	1.47833994941932	0.00987908620351173
LOC5500056	XM_048730022.1	XP_048585979.1	NA	-	RNase_T	1.4672722006593	5.81733947500197e-09
LOC116616059	XR_004295170.2	NA	uncharacterized LOC116616059	NA	NA	1.46612450430263	0.00817017035932904
LOC116608335	XM_032369592.2	XP_032225483.2	uncharacterized LOC116608335	NA	NA	1.44583344393737	0.00214283661807635
LOC5506785	XM_032375249.2	XP_032231140.2	NA	NA	Gal_Lectin	1.43621538755211	0.000820035311460253
LOC5513398	XM_032382924.2	XP_032238815.2	sialate O-acetylesterase	SIAE	SASA	1.43301544651928	2.5723684997907e-05
LOC5504097	XM_032372383.2	XP_032228274.1	uncharacterized LOC5504097	-	cNMP_binding	1.42701378655261	0.00230788953375774
LOC116612335	XM_048734722.1	XP_048590679.1	NA	SNRNP48	PWI	1.41505040943512	2.8024670632527e-11
LOC116620264	XM_048731356.1	XP_048587313.1	NA	NA	XPG_N;XPG_I_2	1.40705728615976	3.20827935163482e-05
LOC5509442	XM_048733868.1	XP_048589825.1	macrophage-expressed gene 1 protein	MPEG1	MACPF	1.39484896198768	0.000358576830558417
LOC5506515	XM_048725544.1	XP_048581501.1	acetylserotonin O-methyltransferase	ASMT	Dimerisation2;Methyltransf_2	1.39176374021069	2.9181429607898e-06
LOC125570208	XM_048731509.1	XP_048587466.1	uncharacterized LOC125570208	-	NA	1.36827633774346	0.000318738755440624
LOC116610270	XM_048720660.1	XP_048576617.1	NA	-	NA	1.35552879907517	0.000150253316470783
LOC125559879	XM_048722037.1	XP_048577994.1	NA	-	RVT_1;RT_RNaseH_2;RT_RNaseH;rve	1.34846787039575	8.51040828610728e-06
LOC5515296	XM_001635418.3	XP_001635468.3	NA	NA	7tm_1	1.33749484491058	0.000453670239314678
LOC5510871	XM_048720612.1	XP_048576569.1	NA	-	Laminin_G_1;Laminin_G_2;Laminin_G_1;Laminin_G_2;EGF	1.3318110358169	2.5548710194916e-06
LOC5502259	XM_048726626.1	XP_048582583.1	NA	-	ABC_membrane;ABC_tran	1.32837966762111	0.00809467824303791
LOC116618315	XM_048721767.1	XP_048577724.1	NA	NA	NA	1.32396253387484	2.26791503263814e-05
LOC5499909	XM_048732032.1	XP_048587989.1	NA	-	SNAP;TPR_12;TPR_12;TPR_8;TPR_7;TPR_10;TPR_8;SNAP;TPR_10;TPR_12;SNAP;TPR_8;TPR_12;TPR_8;TPR_12;TPR_10;SNAP;TPR_8;TPR_10;TPR_12;TPR_8;TPR_10;TPR_8;TPR_8;CHAT	1.32086342681691	0.000192828828107909
LOC5518644	XM_032363372.2	XP_032219263.2	uncharacterized LOC5518644	NA	NA	1.320228293898	0.000150052353298417
LOC5522321	XM_032367658.2	XP_032223549.1	cuticlin-6	-	VWA;VWA_2	1.31651581391827	2.74109586571624e-06
LOC116619325	XR_004296641.2	NA	uncharacterized LOC116619325	NA	NA	1.31284254172524	0.00923717773155647
LOC5503475	XM_032371841.2	XP_032227732.2	NA	-	GAIN;GPS;7tm_2	1.29036099686981	0.00017079855577325
LOC116607199	XR_004292249.2	NA	uncharacterized LOC116607199	NA	NA	1.28637912476243	8.80096622596469e-05
LOC5505793	XM_032374127.2	XP_032230018.2	NA	-	NAD_binding_8;Amino_oxidase	1.27599764768436	8.4232985258674e-07
LOC5514615	XM_048728910.1	XP_048584867.1	NA	PTPRQ	fn3;fn3;fn3;fn3;fn3;fn3;fn3;fn3;Ion_trans;Ion_trans_2	1.27073095687841	5.75805684421466e-06
LOC5498142	XM_048728748.1	XP_048584705.1	NA	-	Pyridoxal_deC	1.27043729938358	0.00129962145073899
LOC5517368	XM_032361835.2	XP_032217726.2	NA	NA	Pep_M12B_propep;Reprolysin_4;Reprolysin_5;Reprolysin;Reprolysin_2;Reprolysin_3;Disintegrin;F5_F8_type_C;TSP_1;TSP_1	1.26858021761512	0.00285473334209643
LOC5504866	XM_048730844.1	XP_048586801.1	organic cation transporter protein	-	MFS_1;Sugar_tr	1.26094581698837	0.00146892699287318
LOC5513175	XM_032382648.2	XP_032238539.2	cilia- and flagella-associated protein 65	-	NA	1.25780161228334	4.23753386153147e-07
LOC5509048	XM_048724481.1	XP_048580438.1	putative white-brown complex homolog protein 30	-	ABC_tran;ABC2_membrane_7;ABC2_membrane_7	1.25772050690876	0.000126533246226318
LOC116603668	XM_032365236.2	XP_032221127.1	uncharacterized LOC116603668	NA	DUF3990	1.25426042855489	0.00667182470199408
LOC5504294	XM_048721337.1	XP_048577294.1	NA	-	zf-C3HC4_3;zf-RING_2;zf-C3HC4;zf-RING_UBOX;zf-B_box;zf-B_box	1.24181457516135	0.00158653957224031
LOC5518618	XM_001638518.3	XP_001638568.2	NA	-	Laminin_G_3	1.23953252438543	0.000521569841597398
LOC5503672	XM_001624633.3	XP_001624683.1	uncharacterized LOC5503672	NA	NA	1.22185324786553	0.00107632553746515
LOC125570217	XM_048731532.1	XP_048587489.1	NA	-	rve	1.22156534085349	0.00513088796056993
LOC5501824	XM_001623034.3	XP_001623084.3	vesicular glutamate transporter 2	SLC17A6	MFS_1	1.22043769824687	0.00152146366278934
LOC5516928	XM_001636871.3	XP_001636921.2	uncharacterized LOC5516928	-	TENA_THI-4	1.21538282597404	5.01939643715227e-05
LOC125556711	XM_048730379.1	XP_048586336.1	ATP-binding cassette sub-family C member 4-like	-	ABC_membrane;ABC_tran;ABC_membrane;ABC_tran	1.21348908715537	0.00341010515083798
LOC5511836	XM_048729805.1	XP_048585762.1	uncharacterized LOC5511836	-	DUF229	1.21331564446313	0.0020839090720015
LOC116613982	XM_032374516.2	XP_032230407.2	NA	NA	NA	1.20696378391849	0.000111224128952317
LOC116608832	XM_048726871.1	XP_048582828.1	uncharacterized protein K02A2.6-like	-	gag-asp_proteas;RVT_1;RT_RNaseH_2;RT_RNaseH;Integrase_H2C2;rve	1.1925173251315	0.00271434493214636
LOC5510558	XM_001630942.3	XP_001630992.3	secreted protein C	NA	NA	1.18003770964886	0.00313603589480138
LOC5506801	XM_001627426.3	XP_001627476.3	NA	NA	Ion_trans;cNMP_binding	1.17876152213075	0.00252397309223091
LOC116616110	XM_032377987.2	XP_032233878.2	NA	-	Integrase_H2C2;rve	1.16219986455605	0.00637115547029103
LOC5499448	XM_048732061.1	XP_048588018.1	tetratricopeptide repeat protein 28	-	TPR_12;TPR_10;TPR_8;TPR_7;TPR_12;SNAP;TPR_12;TPR_10;TPR_8;TPR_12;TPR_10;TPR_8;SNAP;TPR_10;TPR_8;TPR_8;CHAT	1.16121972463319	0.003184664610324
LOC116615386	XM_032376958.2	XP_032232849.2	late histone H1	-	Linker_histone	1.14772077412817	0.000702830864939969
LOC116601185	XM_032361906.2	XP_032217797.2	NA	NA	Pep_M12B_propep;Reprolysin_5;Reprolysin_4;Reprolysin;Reprolysin_2;Reprolysin_3;Disintegrin;F5_F8_type_C;ADAM_CR;TSP_1;TSP_1	1.1469921274047	0.00515294792204324
LOC5504889	XM_048732062.1	XP_048588019.1	tetratricopeptide repeat protein 28	-	SNAP;TPR_12;TPR_8;TPR_7;TPR_12;SNAP;TPR_12;TPR_10;TPR_8;TPR_7;TPR_12;TPR_10;TPR_8;TPR_12;TPR_10;TPR_8;SNAP;TPR_12;TPR_8;TPR_8;TPR_12;SNAP;TPR_12;TPR_10;TPR_8;TPR_12;TPR_10;TPR_8;TPR_10;TPR_8;CHAT	1.13838704355901	0.000758369304821174
LOC5515157	XM_048728991.1	XP_048584948.1	NA	NA	SRCR;SRCR;SRCR;SRCR;SRCR;MAM;Ldl_recept_a;Ldl_recept_a;MAM;Laminin_G_3;Pentaxin;CUB;LRR_8;LRR_4;LRR_8;7tm_1	1.13247983952236	0.00681934567521543
LOC5517509	XM_001637461.3	XP_001637511.3	ficolin-2	TNC	PAN_1;Fibrinogen_C	1.12370120913839	0.00761167753057016
LOC5516352	XM_032386211.2	XP_032242102.2	vitellogenin	NA	Vitellogenin_N;DUF1943;VWD	1.11787507556111	0.00420392194710077
LOC125563057	XM_048727753.1	XP_048583710.1	uncharacterized LOC125563057	NA	NA	1.1034211173821	0.000176148501832895
LOC116611070	XM_048720192.1	XP_048576149.1	uncharacterized LOC116611070	NA	NA	1.10205346272094	0.00938760387658789
LOC5516625	XM_032386450.2	XP_032242341.2	NA	NA	ABC_membrane;ABC_tran;ABC_membrane;ABC_tran	1.08102109261994	0.000616312315884414
LOC5511483	XM_032380815.2	XP_032236706.2	NA	NA	fn3_4	1.07605482344152	0.00157187714693022
LOC5501851	XM_032370147.2	XP_032226038.2	uncharacterized LOC5501851	NA	NA	1.0753628683206	0.000577899681109568
LOC5508769	XM_001629273.3	XP_001629323.1	fibroblast growth factor 2	FGF7	FGF	1.06252902511566	0.00442484273546431
LOC125563059	XM_048727754.1	XP_048583711.1	uncharacterized LOC125563059	NA	NA	1.05618681006017	8.51413769421496e-05
LOC5520433	XM_001640140.3	XP_001640190.3	uncharacterized LOC5520433	NA	Vitellogenin_N;DUF1943;DUF1081;VWD	1.0539551169158	8.48536721368457e-05
LOC5510316	XM_001630739.3	XP_001630789.2	glutathione S-transferase	-	GST_C_3;GST_C	1.05390048152668	5.7212605856276e-05
LOC5516770	XM_001636816.3	XP_001636866.1	tubulin alpha-1D chain	-	Tubulin;Tubulin_C	1.05124231423694	3.37224081896497e-05
LOC116612842	XR_007311444.1	NA	uncharacterized LOC116612842	NA	NA	1.04657407488516	0.000155119726438897
LOC125573800	XM_048734583.1	XP_048590540.1	uncharacterized LOC125573800	NA	DUF4773	1.04430834577739	0.000376653946720002
LOC5517296	XM_032387290.2	XP_032243181.2	von Willebrand factor A domain-containing protein 5A	VWA5A	VIT_2;VIT;VWA_3;VWA;VWA_2	1.03372460594938	0.00605849717204805
LOC5519949	XM_001639850.3	XP_001639900.2	uncharacterized LOC5519949	NA	NA	1.03361904638116	0.0036240012340772
LOC5511062	XM_032380288.2	XP_032236179.1	NA	-	PDZ;PDZ_6;NO_synthase;Flavodoxin_1;FAD_binding_1;NAD_binding_1	1.03292552857921	2.3816730349234e-06
LOC5502646	XM_001623752.3	XP_001623802.3	NA	-	7tm_1	1.02626392972891	0.00182666524929018
LOC5507099	XM_032375596.2	XP_032231487.1	transmembrane protein 145	-	GpcrRhopsn4	1.01842481657347	0.00717899917068028
LOC5515189	XM_001635275.3	XP_001635325.2	transcription factor HES-2	-	HLH	0.996061054847398	0.00513486876589461
LOC116615435	XM_032377056.2	XP_032232947.2	adhesion G protein-coupled receptor B2-like	-	7tm_2	0.989829865905482	9.28076212172467e-05
LOC5518595	XM_001638498.3	XP_001638548.2	uncharacterized LOC5518595	NA	CLN3	0.983229338551269	0.00318916855726214
LOC5515649	XM_032385337.2	XP_032241228.2	NA	-	CmcI	0.981653016601827	0.00487390824312397
LOC125557238	XM_048719588.1	XP_048575545.1	histone H4	-	CENP-T_C;TAF	0.981249460937788	0.00844239948299226
LOC5506124	XM_048731563.1	XP_048587520.1	nascent polypeptide-associated complex subunit alpha%2C muscle-specific form	NA	NA	0.979490848966628	0.00996975621605492
LOC5513284	XM_048721908.1	XP_048577865.1	von Willebrand factor D and EGF domain-containing protein	-	EGF	0.969091615165935	0.00171212651120082
LOC5507684	XM_001628271.3	XP_001628321.1	uncharacterized LOC5507684	-	Tae4	0.954342798354965	0.0019411596701528
LOC5500990	XM_001622312.3	XP_001622362.1	uncharacterized LOC5500990	NA	ShK;ShK	0.941510391189911	4.65125745841607e-06
LOC116601155	XM_032361827.2	XP_032217718.1	uncharacterized LOC116601155	NA	NA	0.940433263684145	0.00252800301778658
LOC5522001	XM_032367379.2	XP_032223270.2	NA	NA	CUB;GPS;7tm_2	0.938189368884333	0.00187859317153928
LOC5515249	XM_032384890.2	XP_032240781.2	NA	NA	F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C;F5_F8_type_C	0.932711684968348	0.00270616116275019
LOC116619237	XM_048724746.1	XP_048580703.1	NA	-	DUF1759;Peptidase_A17;Integrase_H2C2;DUF5641	0.929556290901296	0.00940190075635475
LOC5505628	XM_001626361.3	XP_001626411.1	zinc transporter ZIP3	SLC39A3	Zip	0.913417872658895	6.0354885296548e-05
LOC5507177	XM_032375697.2	XP_032231588.2	uncharacterized LOC5507177	-	Ion_trans;Ion_trans_2;cNMP_binding;Ion_trans;Ion_trans_2;cNMP_binding;Ion_trans;Ion_trans_2;cNMP_binding;Ion_trans;Ion_trans_2;cNMP_binding	0.903206327764307	0.00273306730909535
LOC5507102	XM_048729749.1	XP_048585706.1	methionine synthase	-	S-methyl_trans;Pterin_bind;B12-binding_2;B12-binding;Met_synt_B12	0.893624983356446	0.000566708105249735
LOC5512876	XM_048726872.1	XP_048582829.1	NA	KDM2A	JHD;zf-CXXC;F-box	0.883677718516203	4.1201453699147e-05
LOC116604590	XR_004291129.2	NA	NA	NA	NA	0.881472075562612	0.00386390082352339
LOC5510519	XM_048728579.1	XP_048584536.1	NA	C9	TSP_1;TSP_1;TSP_1;TSP_1;TSP_1;TSP_1	0.875665290451439	4.12731724625671e-06
LOC5509508	XM_001629996.3	XP_001630046.1	uncharacterized LOC5509508	-	DED;NHL;NHL;NHL;NHL	0.866555800972559	1.52158074312887e-05
LOC5502746	XM_001623858.3	XP_001623908.2	vesicular inhibitory amino acid transporter	-	Aa_trans	0.860166224265227	0.00702590312423568
LOC5521019	XM_001640853.3	XP_001640903.2	transcription factor Jun	JUN	Jun;bZIP_Maf;bZIP_1;bZIP_2	0.8552724477257	0.00694153360405418
LOC116604733	XM_048725266.1	XP_048581223.1	NA	NA	NA	0.849330713892599	0.00422502331477018
LOC116611365	XM_048730137.1	XP_048586094.1	uncharacterized LOC116611365	-	NA	0.847044034839057	0.00305702000421446
LOC5512301	XM_001632617.3	XP_001632667.3	neurochondrin	NCDN	Neurochondrin	0.846748356107331	0.00518335147648507
LOC5509581	XM_048720169.1	XP_048576126.1	NA	SLC22A13	MFS_1;Sugar_tr	0.843180129072479	0.00150125097461752
LOC5516566	XM_032386468.2	XP_032242359.2	NA	MCPH1	BRCT;PTCB-BRCT;BRCT	0.8348861815853	0.0039555677495139
LOC5497837	XM_048721607.1	XP_048577564.1	tripartite motif-containing protein 45-like	-	zf-RING_2;zf-RING_5;zf-C3HC4;zf-RING_UBOX;zf-B_box;zf-B_box;TLD	0.830565613110742	0.000135984177948803
LOC5504912	XM_001625712.3	XP_001625762.3	NA	NA	TNFR_c6;TNFR_c6;TNFR_c6;Death	0.821389732383786	0.000651820491311066
LOC5515698	XM_032385584.2	XP_032241475.2	NA	-	DUF229;DUF229	0.815403642573295	0.00385172283502949
