gene_id	transcript_id	prot_id	gene_name	Preferred_name	PFAM_arch	log2FoldChange	padj
LOC5520694	XM_001640468.3	XP_001640518.1	branched-chain-amino-acid aminotransferase-like protein 2	-	Sulfotransfer_5	-1.07803428188251	9.28076212172467e-05
LOC5506871	XM_032375324.2	XP_032231215.2	TBC1 domain family member 31	TBC1D31	WD40;RabGAP-TBC	-1.07549222697384	3.69563003333168e-09
LOC5518540	XM_001638495.3	XP_001638545.2	ATP-dependent rRNA helicase RRP3	-	DEAD;Helicase_C	-1.07277462655167	0.000126207823623032
LOC5515406	XM_032385176.2	XP_032241067.1	fibroblast growth factor receptor 3	-	Ig_3;I-set;Ig_3;I-set;ig;TIR;TIR_2	-1.0632937909553	0.000243496937029788
LOC5506132	XM_048731180.1	XP_048587137.1	NA	AGMO	FA_hydroxylase	-1.0428253270168	0.000517592935157847
LOC5512673	XM_001632934.3	XP_001632984.1	profilin-1A	-	Profilin	-1.02645189079193	3.25296656693232e-05
LOC5502298	XM_048732872.1	XP_048588829.1	cell division cycle protein 20 homolog	-	WD40;WD40;WD40	-1.01539562928756	0.00326769036564405
LOC5518401	XM_001638381.3	XP_001638431.2	adenylyl cyclase-associated protein 1	CAP1	CAP_N;CAP_C	-0.982583622248683	2.03120416799869e-08
LOC5500142	XM_048721071.1	XP_048577028.1	xaa-Pro dipeptidase	PEPD	AMP_N;Peptidase_M24	-0.979176680732802	0.00144317194997459
LOC5507452	XM_048733718.1	XP_048589675.1	NA	GPRMTH3	PLAT;EGF_CA;EGF_CA;EGF_CA;cEGF;EGF_CA;EGF_CA;Sushi;Sushi;HYR;Ephrin_rec_like;Ig_3;I-set;ig	-0.975054120359545	0.000947205589733329
LOC5513064	XM_032382630.2	XP_032238521.1	vesicular inhibitory amino acid transporter	-	Aa_trans	-0.973986927011293	0.000388547191264279
LOC116609437	XM_032370263.2	XP_032226154.2	NA	NA	NA	-0.941174347679383	0.000975308737495761
LOC116620692	XM_032386298.2	XP_032242189.2	NA	ARV1	Arv1	-0.921510684356416	0.000127789111319965
LOC5505692	XM_032373993.2	XP_032229884.1	transmembrane protein 163	TMEM163	NA	-0.920877938360247	0.000194717555188877
LOC5501632	XM_032369921.2	XP_032225812.2	NA	NA	NA	-0.919467586405961	0.00918727977156658
LOC116616646	XR_007312229.1	NA	uncharacterized LOC116616646	NA	NA	-0.91342340350896	5.58619316129832e-05
LOC5522009	XM_001641736.3	XP_001641786.2	NA	SH2D4A	SH2	-0.909100240914453	6.15913271581189e-05
LOC116603354	XM_032364435.2	XP_032220326.2	NA	SLC2A12	Sugar_tr;MFS_1;Sugar_tr	-0.893369958430798	0.000582305259232482
LOC5505605	XM_048720237.1	XP_048576194.1	NA	PRKDC	NUC194;DNAPKcs_CC5;FAT;PI3_PI4_kinase;FATC	-0.889422297292194	0.00129962145073899
LOC116610739	XM_048722581.1	XP_048578538.1	NA	PLIN4	NA	-0.886190999872054	0.000630686499076238
LOC5515292	XM_001635370.3	XP_001635420.1	late histone H2B.L4	-	Histone;CBFD_NFYB_HMF	-0.881670479557582	0.000480428755085142
LOC116610301	XR_004293296.2	NA	uncharacterized LOC116610301	NA	NA	-0.871728845708367	0.00965982980606367
LOC5502098	XM_032370371.2	XP_032226262.1	28S ribosomal protein S10%2C mitochondrial	MRPS10	Ribosomal_S10	-0.865825822009064	8.8426332499548e-06
LOC5501870	XM_048732816.1	XP_048588773.1	NA	NA	AAA_11;AAA_19;AAA_11;AAA_12;RNB;AAA_11;AAA_19;AAA_12	-0.86039035299314	0.00490155309176126
LOC5507841	XM_048721774.1	XP_048577731.1	NA	CTU1	ATP_bind_3;zn-ribbon_14	-0.851069227876742	0.00274302461012458
LOC116617555	XM_032380322.2	XP_032236213.1	NA	NA	Sugar_tr;MFS_1;MFS_2;Sugar_tr	-0.849240621998725	0.000348644724105168
LOC5521084	XM_032366022.2	XP_032221913.2	uncharacterized LOC5521084	NA	NA	-0.848956575362528	0.000119569984235659
LOC5521120	XM_001640874.3	XP_001640924.1	NA	NA	NA	-0.840288749836409	0.0005831726339323
LOC5512921	XM_048722690.1	XP_048578647.1	NA	SETD3	SET;Rubis-subs-bind	-0.835896659093496	6.15280184243575e-06
LOC5518054	XM_048721148.1	XP_048577105.1	NA	MTBP	MTBP_N;MTBP_C;MTBP_C	-0.825835697809593	0.00972373219986624
LOC5519469	XM_032364300.2	XP_032220191.1	LDL receptor repeat-containing protein egg-1-like	NA	Ldl_recept_a;Ldl_recept_a;Ldl_recept_a	-0.818661297815276	0.00930024319482842
LOC5506397	XM_032374786.2	XP_032230677.2	H(+)/Cl(-) exchange transporter 7	CLCN7	Voltage_CLC;CBS	-0.810122617595645	0.00527638033303194
LOC5514266	XM_001634425.3	XP_001634475.2	peptidyl-prolyl cis-trans isomerase H	PPIH	Pro_isomerase	-0.800740928296256	0.00514742914010018
LOC5517657	XM_048727544.1	XP_048583501.1	spatacsin	NA	Spatacsin_C	-0.800572944796009	0.00614199891541057
LOC5510146	XM_048720054.1	XP_048576011.1	NA	SLC25A17	Mito_carr;Mito_carr;Mito_carr	-0.785683857722841	0.00163638641449528
LOC116609798	XM_032370573.2	XP_032226464.1	porphobilinogen deaminase	HMBS	Porphobil_deam;Porphobil_deamC	-0.769048746357577	0.00289802535927892
LOC116604245	XM_032366282.2	XP_032222173.2	leucine-rich repeat extensin-like protein 3	NA	NA	-0.768012103577361	0.00853156817574543
LOC5504751	XM_001625599.3	XP_001625649.3	NA	MINA	Cupin_4	-0.7656023125685	0.00139841133714436
LOC5515265	XM_048731373.1	XP_048587330.1	NA	NA	7tm_1	-0.729330912463679	0.00916764934091133
LOC116617511	XM_032380230.2	XP_032236121.2	uncharacterized LOC116617511	NA	NA	-0.721953345893453	0.00404754249705136
LOC5518116	XM_048733047.1	XP_048589004.1	NA	NA	F5_F8_type_C;Laminin_G_3;CUB	-0.719903272346852	0.00920133124610209
LOC5511504	XM_048728653.1	XP_048584610.1	NA	NA	NA	-0.712907717813505	0.000150052353298417
LOC5508452	XM_001628977.3	XP_001629027.3	NA	-	GST_N_2;GST_C_2	-0.711493015258512	0.0036634386960108
LOC5509299	XM_032378269.2	XP_032234160.2	N-lysine methyltransferase SETD6	SETD6	SET	-0.709496930216897	0.00592355483115996
LOC5511071	XM_032380281.2	XP_032236172.2	TPR repeat-containing protein DDB_G0287407	-	DUF4062	-0.704312952984955	0.00141580743397803
LOC5519504	XM_048720880.1	XP_048576837.1	NA	ADCK5	ABC1	-0.683381372718019	0.00351813142970741
LOC5516531	XM_032386366.2	XP_032242257.2	NA	SGSM2	RUN;PH_RBD;RabGAP-TBC	-0.670572023737272	0.00146544562836682
LOC5519296	XM_032364219.2	XP_032220110.1	NA	FBXL6	F-box-like;F-box	-0.66247175475945	0.00302980868173017
LOC5517139	XM_032387164.2	XP_032243055.2	NA	CBWD1	cobW;CobW_C	-0.644980079036615	0.000841781599892302
LOC5508906	XM_001629422.3	XP_001629472.2	endosome/lysosome-associated apoptosis and autophagy regulator family member 2	-	Ephrin_rec_like	-0.533121488394698	0.00853156817574543
LOC5519454	XM_001639370.3	XP_001639420.1	NA	-	Collagen;Collagen;Gal_Lectin	-0.5279734368521	0.0040228566349659
